sample_start,sample_end,scream_type_start,video_id
,2632608,,-xYZM04JxnQ
2737392,2987200,midfry,-xYZM04JxnQ
3093760,3214960,midfry,-xYZM04JxnQ
3229968,3710400,midfry,-xYZM04JxnQ
3711360,3786119,highfry,-xYZM04JxnQ
3804416,3857952,midfry,-xYZM04JxnQ
3866016,4117407,midfry,-xYZM04JxnQ
4162144,4298560,midfry,-xYZM04JxnQ
4350976,4450852,midfry,-xYZM04JxnQ
4481420,4599734,midfry,-xYZM04JxnQ
4643065,4701504,midfry,-xYZM04JxnQ
4703808,4772910,highfry,-xYZM04JxnQ
4792032,5287296,midfry,-xYZM04JxnQ
5316640,5444992,midfry,-xYZM04JxnQ
5511968,6112800,midfry,-xYZM04JxnQ
6115392,6180640,highfry,-xYZM04JxnQ
6228640,6538386,midfry,-xYZM04JxnQ
6581920,6708640,midfry,-xYZM04JxnQ
6771520,6869280,midfry,-xYZM04JxnQ
6906560,7015200,midfry,-xYZM04JxnQ
7060640,7133760,midfry,-xYZM04JxnQ
7135200,7200800,highfry,-xYZM04JxnQ
7283840,7408640,midfry,-xYZM04JxnQ
8792000,8962713,midfry,-xYZM04JxnQ
9075706,9222032,midfry,-xYZM04JxnQ
9390240,9548449,midfry,-xYZM04JxnQ
9688316,9804719,midfry,-xYZM04JxnQ
9856948,9889152,midfry,-xYZM04JxnQ
9895872,10155889,highfry,-xYZM04JxnQ
10597694,10691542,midfry,-xYZM04JxnQ
10758598,10792128,midfry,-xYZM04JxnQ
10817280,10888599,midfry,-xYZM04JxnQ
10912246,11008478,midfry,-xYZM04JxnQ
11064425,11219712,midfry,-xYZM04JxnQ
11510640,11846716,midfry,-xYZM04JxnQ
12140783,12204480,midfry,-xYZM04JxnQ
12208800,12441024,highfry,-xYZM04JxnQ
12446560,12501440,midfry,-xYZM04JxnQ
