sample_start,sample_end,scream_type_start,video_id
1686361,1794359,midfry,09KScSe4hIc
1810323,1919808,midfry,09KScSe4hIc
1961539,2073829,midfry,09KScSe4hIc
2090602,2249290,midfry,09KScSe4hIc
2373120,2389824,midfry,09KScSe4hIc
2798755,2913406,midfry,09KScSe4hIc
2921222,3040814,midfry,09KScSe4hIc
3077001,3321717,midfry,09KScSe4hIc
3347130,3410233,midfry,09KScSe4hIc
3640320,3815777,layered,09KScSe4hIc
3898539,4100962,layered,09KScSe4hIc
4201444,4374528,layered,09KScSe4hIc
4386048,4573440,midfry,09KScSe4hIc
5126976,5242715,midfry,09KScSe4hIc
5251214,5360256,midfry,09KScSe4hIc
5404902,5518656,midfry,09KScSe4hIc
5523264,5719143,midfry,09KScSe4hIc
5802416,5829551,midfry,09KScSe4hIc
6161168,6249240,midfry,09KScSe4hIc
7367616,7465737,midfry,09KScSe4hIc
7489116,7602869,midfry,09KScSe4hIc
7640064,7884990,midfry,09KScSe4hIc
7907531,8024609,midfry,09KScSe4hIc
8044247,8134010,midfry,09KScSe4hIc
8206364,8381676,layered,09KScSe4hIc
8449271,8657549,layered,09KScSe4hIc
8760277,8936256,layered,09KScSe4hIc
8948352,9085608,midfry,09KScSe4hIc
9230400,9275328,midfry,09KScSe4hIc
