sample_start,sample_end,scream_type_start,video_id
485120,687680,midfry,0m5fIHHfJTw
707200,932608,midfry,0m5fIHHfJTw
934272,1090656,highfry,0m5fIHHfJTw
1091968,1155680,midfry,0m5fIHHfJTw
1156640,1316608,highfry,0m5fIHHfJTw
1351552,1421757,midfry,0m5fIHHfJTw
1447936,1536640,midfry,0m5fIHHfJTw
1561280,1653120,midfry,0m5fIHHfJTw
1664064,1768704,midfry,0m5fIHHfJTw
2242016,2337565,midfry,0m5fIHHfJTw
2351360,2449664,midfry,0m5fIHHfJTw
2467328,2563840,midfry,0m5fIHHfJTw
2576640,2656512,midfry,0m5fIHHfJTw
2703616,2788864,midfry,0m5fIHHfJTw
2817280,2899200,midfry,0m5fIHHfJTw
2926336,3073248,midfry,0m5fIHHfJTw
3077280,3124800,highfry,0m5fIHHfJTw
3167360,3370528,midfry,0m5fIHHfJTw
3385536,4028928,midfry,0m5fIHHfJTw
4054272,4146944,midfry,0m5fIHHfJTw
4157696,4260608,midfry,0m5fIHHfJTw
4277504,4341248,midfry,0m5fIHHfJTw
4356864,4416496,midfry,0m5fIHHfJTw
4420747,4469952,midfry,0m5fIHHfJTw
5252480,5365472,highfry,0m5fIHHfJTw
6345696,6474432,midfry,0m5fIHHfJTw
6583968,6696192,midfry,0m5fIHHfJTw
6819456,6915072,midfry,0m5fIHHfJTw
7056672,7172928,midfry,0m5fIHHfJTw
7264704,7286880,midfry,0m5fIHHfJTw
7789376,8205120,midfry,0m5fIHHfJTw
8223488,8530272,midfry,0m5fIHHfJTw
