sample_start,sample_end,scream_type_start,video_id
1289216,1589947,midfry,1CdtbR9JHCA
1671182,1953274,midfry,1CdtbR9JHCA
2055896,2337742,midfry,1CdtbR9JHCA
2517814,2650384,midfry,1CdtbR9JHCA
2721378,2835327,midfry,1CdtbR9JHCA
2903740,3026257,midfry,1CdtbR9JHCA
3096832,3202146,midfry,1CdtbR9JHCA
3569188,3756375,midfry,1CdtbR9JHCA
3763266,3860416,midfry,1CdtbR9JHCA
3931323,3948224,midfry,1CdtbR9JHCA
4687968,5033728,lowfry,1CdtbR9JHCA
5070912,5199888,lowfry,1CdtbR9JHCA
5215168,5417276,lowfry,1CdtbR9JHCA
5448535,5497344,lowfry,1CdtbR9JHCA
5504256,5603007,midfry,1CdtbR9JHCA
5643023,5812465,midfry,1CdtbR9JHCA
5834613,5872128,lowfry,1CdtbR9JHCA
5885952,5991688,midfry,1CdtbR9JHCA
6025536,6098101,midfry,1CdtbR9JHCA
6113472,6271191,midfry,1CdtbR9JHCA
6305927,7079332,midfry,1CdtbR9JHCA
7860269,7936875,layered,1CdtbR9JHCA
7955136,8035706,layered,1CdtbR9JHCA
8054053,8130992,midfry,1CdtbR9JHCA
8148411,8210635,midfry,1CdtbR9JHCA
8618384,8693792,layered,1CdtbR9JHCA
8710696,8789512,layered,1CdtbR9JHCA
8806065,8876644,layered,1CdtbR9JHCA
8907584,8978978,layered,1CdtbR9JHCA
9356388,9646784,layered,1CdtbR9JHCA
9729216,9743104,lowfry,1CdtbR9JHCA
