sample_start,sample_end,scream_type_start,video_id
1382400,1569600,midfry,1gpfzCxiQ-A
1633600,1792960,midfry,1gpfzCxiQ-A
1828160,2022080,midfry,1gpfzCxiQ-A
2048640,2245120,midfry,1gpfzCxiQ-A
2717440,2911040,midfry,1gpfzCxiQ-A
2948800,3126080,midfry,1gpfzCxiQ-A
3164800,3339840,midfry,1gpfzCxiQ-A
3353280,3562240,midfry,1gpfzCxiQ-A
3577280,3695680,midfry,1gpfzCxiQ-A
3805440,3909120,midfry,1gpfzCxiQ-A
4023040,4141440,midfry,1gpfzCxiQ-A
4247360,4348480,midfry,1gpfzCxiQ-A
4959360,5127180,midfry,1gpfzCxiQ-A
5157660,5223680,midfry,1gpfzCxiQ-A
5242240,5361042,midfry,1gpfzCxiQ-A
6269760,6463188,midfry,1gpfzCxiQ-A
6493120,6560640,midfry,1gpfzCxiQ-A
6576000,6650560,midfry,1gpfzCxiQ-A
6657280,6697439,highfry,1gpfzCxiQ-A
6741520,6789760,midfry,1gpfzCxiQ-A
6800000,6869280,midfry,1gpfzCxiQ-A
6875200,6906246,highfry,1gpfzCxiQ-A
6935397,7011837,midfry,1gpfzCxiQ-A
7034196,7096704,midfry,1gpfzCxiQ-A
7099520,7131699,highfry,1gpfzCxiQ-A
7620564,7730996,midfry,1gpfzCxiQ-A
7835041,7915200,midfry,1gpfzCxiQ-A
7919520,7950554,highfry,1gpfzCxiQ-A
8059699,8180923,midfry,1gpfzCxiQ-A
8281258,8388456,midfry,1gpfzCxiQ-A
