sample_start,sample_end,scream_type_start,video_id
1579017,1999183,midfry,4600fGWcn9o
2020012,2152867,midfry,4600fGWcn9o
2161887,2486176,midfry,4600fGWcn9o
2488192,2795520,clean,4600fGWcn9o
2797600,3030794,midfry,4600fGWcn9o
3038213,3084672,midfry,4600fGWcn9o
3086592,3142852,midfry,4600fGWcn9o
3156480,3217717,midfry,4600fGWcn9o
3230384,3363072,midfry,4600fGWcn9o
3376896,3496994,midfry,4600fGWcn9o
3518047,3637451,midfry,4600fGWcn9o
3661895,3727691,midfry,4600fGWcn9o
3742966,3873408,midfry,4600fGWcn9o
3886464,3926274,midfry,4600fGWcn9o
3940992,4080768,midfry,4600fGWcn9o
4087040,4400064,clean,4600fGWcn9o
4408128,4662784,midfry,4600fGWcn9o
4668416,4985208,clean,4600fGWcn9o
4995694,5245058,midfry,4600fGWcn9o
6073994,6411733,midfry,4600fGWcn9o
6434499,6850057,midfry,4600fGWcn9o
6882233,6997760,midfry,4600fGWcn9o
7008320,7175040,midfry,4600fGWcn9o
7175552,7201440,midfry,4600fGWcn9o
7202448,7402970,midfry,4600fGWcn9o
7828361,8357611,midfry,4600fGWcn9o
8366604,9157737,clean,4600fGWcn9o
9168065,9291499,midfry,4600fGWcn9o
9323643,9801600,clean,4600fGWcn9o
9822720,10177410,midfry,4600fGWcn9o
10303304,10427522,midfry,4600fGWcn9o
10799656,11044160,clean,4600fGWcn9o
11048960,11278464,midfry,4600fGWcn9o
11281644,11582592,clean,4600fGWcn9o
11587968,11758061,midfry,4600fGWcn9o
11864269,12214479,clean,4600fGWcn9o
12229217,12491989,clean,4600fGWcn9o
12521257,12863883,clean,4600fGWcn9o
12885332,13052683,clean,4600fGWcn9o
13058695,13208576,midfry,4600fGWcn9o
13244416,13529088,midfry,4600fGWcn9o
13559409,13876676,midfry,4600fGWcn9o
13901960,14561254,midfry,4600fGWcn9o
