sample_start,sample_end,scream_type_start,video_id
2312320,2611840,midfry,47Plg93oJ1M
2626560,3003520,midfry,47Plg93oJ1M
3183360,3344000,midfry,47Plg93oJ1M
3521280,3820800,midfry,47Plg93oJ1M
3835520,4211200,midfry,47Plg93oJ1M
4275200,5366592,midfry,47Plg93oJ1M
5394026,5499102,midfry,47Plg93oJ1M
5505812,5667804,midfry,47Plg93oJ1M
5675690,5742281,midfry,47Plg93oJ1M
5748433,5845786,layered,47Plg93oJ1M
5863685,5955638,layered,47Plg93oJ1M
5961410,6089131,layered,47Plg93oJ1M
6107328,6248176,midfry,47Plg93oJ1M
6260432,6392552,midfry,47Plg93oJ1M
6409343,6553597,midfry,47Plg93oJ1M
6565248,6869376,midfry,47Plg93oJ1M
8117655,8366765,midfry,47Plg93oJ1M
8398080,8596800,midfry,47Plg93oJ1M
8680896,8811837,midfry,47Plg93oJ1M
8888832,8974700,midfry,47Plg93oJ1M
9594413,9902231,midfry,47Plg93oJ1M
9916127,10306922,midfry,47Plg93oJ1M
