sample_start,sample_end,scream_type_start,video_id
841728,925184,midfry,4ShzP_M7W-k
936960,1034240,midfry,4ShzP_M7W-k
1042432,1446912,midfry,4ShzP_M7W-k
1465344,1710080,midfry,4ShzP_M7W-k
1927680,2030080,midfry,4ShzP_M7W-k
2045440,2113536,midfry,4ShzP_M7W-k
2139136,2316288,midfry,4ShzP_M7W-k
2365952,2451456,midfry,4ShzP_M7W-k
2472448,2733056,midfry,4ShzP_M7W-k
3184128,3377664,midfry,4ShzP_M7W-k
3407360,3797504,midfry,4ShzP_M7W-k
3816960,4041216,midfry,4ShzP_M7W-k
4065280,4150272,midfry,4ShzP_M7W-k
4173824,4262912,midfry,4ShzP_M7W-k
4291584,4436480,midfry,4ShzP_M7W-k
4473344,4563456,midfry,4ShzP_M7W-k
4582400,4840960,midfry,4ShzP_M7W-k
4858880,4938752,midfry,4ShzP_M7W-k
4951040,5464064,midfry,4ShzP_M7W-k
5480448,5731328,midfry,4ShzP_M7W-k
6379008,6523392,midfry,4ShzP_M7W-k
6561280,6716416,midfry,4ShzP_M7W-k
6737920,6769664,midfry,4ShzP_M7W-k
6829056,6943744,midfry,4ShzP_M7W-k
7043328,7190400,midfry,4ShzP_M7W-k
7195840,7353856,midfry,4ShzP_M7W-k
7844864,8019456,midfry,4ShzP_M7W-k
8051712,8136704,midfry,4ShzP_M7W-k
8150528,8236032,midfry,4ShzP_M7W-k
9861552,10006560,midfry,4ShzP_M7W-k
