sample_start,sample_end,scream_type_start,video_id
737280,776448,highfry,5SgN5lvWZwQ
2574336,2669643,midfry,5SgN5lvWZwQ
2757732,2856323,midfry,5SgN5lvWZwQ
2933075,3041013,midfry,5SgN5lvWZwQ
3116474,3231683,midfry,5SgN5lvWZwQ
3319296,4194025,midfry,5SgN5lvWZwQ
4248576,4575744,midfry,5SgN5lvWZwQ
4591027,4690176,midfry,5SgN5lvWZwQ
4766979,4873002,midfry,5SgN5lvWZwQ
4958808,5070273,midfry,5SgN5lvWZwQ
5128734,5269384,midfry,5SgN5lvWZwQ
5719881,5743872,midfry,5SgN5lvWZwQ
5760000,5875200,midfry,5SgN5lvWZwQ
5884416,6459632,midfry,5SgN5lvWZwQ
7548678,7734528,midfry,5SgN5lvWZwQ
7744512,7906628,midfry,5SgN5lvWZwQ
7924992,8281690,midfry,5SgN5lvWZwQ
8288037,8475648,midfry,5SgN5lvWZwQ
8649984,9003781,midfry,5SgN5lvWZwQ
9399404,10125716,midfry,5SgN5lvWZwQ
