sample_start,sample_end,scream_type_start,video_id
755136,828288,midfry,5aaOqUYG8Tw
873792,944180,midfry,5aaOqUYG8Tw
986813,1062662,midfry,5aaOqUYG8Tw
1103949,1170172,midfry,5aaOqUYG8Tw
1211026,1301573,midfry,5aaOqUYG8Tw
1346224,1420009,midfry,5aaOqUYG8Tw
1468474,1544694,midfry,5aaOqUYG8Tw
1578534,1710872,midfry,5aaOqUYG8Tw
1758969,2099520,midfry,5aaOqUYG8Tw
2117952,2148160,midfry,5aaOqUYG8Tw
2165440,2219520,midfry,5aaOqUYG8Tw
2241600,2334400,midfry,5aaOqUYG8Tw
2342400,2386094,midfry,5aaOqUYG8Tw
2403257,2456000,midfry,5aaOqUYG8Tw
2473920,2573440,midfry,5aaOqUYG8Tw
2591680,2623360,midfry,5aaOqUYG8Tw
2639360,2696343,midfry,5aaOqUYG8Tw
3312831,3366930,midfry,5aaOqUYG8Tw
3419989,3485300,midfry,5aaOqUYG8Tw
3537920,3602880,midfry,5aaOqUYG8Tw
3645732,3736614,midfry,5aaOqUYG8Tw
3769600,3867487,midfry,5aaOqUYG8Tw
3890514,3971618,midfry,5aaOqUYG8Tw
3987520,4096688,midfry,5aaOqUYG8Tw
4124160,4312496,midfry,5aaOqUYG8Tw
4851456,4943360,midfry,5aaOqUYG8Tw
4970496,5059992,midfry,5aaOqUYG8Tw
5092851,5197861,midfry,5aaOqUYG8Tw
5216767,5314888,midfry,5aaOqUYG8Tw
5321472,5427712,midfry,5aaOqUYG8Tw
5454848,5568938,midfry,5aaOqUYG8Tw
5577216,5774592,midfry,5aaOqUYG8Tw
5815482,5911360,midfry,5aaOqUYG8Tw
5928320,6022720,midfry,5aaOqUYG8Tw
6041920,6149120,midfry,5aaOqUYG8Tw
6174080,6630048,midfry,5aaOqUYG8Tw
6647040,6764256,midfry,5aaOqUYG8Tw
7723260,8528256,midfry,5aaOqUYG8Tw
8552160,8652096,midfry,5aaOqUYG8Tw
8669664,9361152,midfry,5aaOqUYG8Tw
9379584,9675648,midfry,5aaOqUYG8Tw
