sample_start,sample_end,scream_type_start,video_id
979776,1061536,midfry,5abamRO41fE
1623040,1760000,midfry,5abamRO41fE
1780480,1910757,midfry,5abamRO41fE
1927040,2000250,midfry,5abamRO41fE
2025600,2078630,midfry,5abamRO41fE
2096946,2312878,midfry,5abamRO41fE
2336640,2389760,midfry,5abamRO41fE
2412160,2467200,midfry,5abamRO41fE
2487040,2620961,midfry,5abamRO41fE
2635618,2934328,midfry,5abamRO41fE
2989294,3114406,clean,5abamRO41fE
3155896,3290554,clean,5abamRO41fE
3318751,3421242,clean,5abamRO41fE
3455042,3588361,clean,5abamRO41fE
3613440,3665920,midfry,5abamRO41fE
3692160,3749277,midfry,5abamRO41fE
3773798,3829468,midfry,5abamRO41fE
3924631,3981470,midfry,5abamRO41fE
4004981,4057794,midfry,5abamRO41fE
4084441,4135564,midfry,5abamRO41fE
4150344,4442880,midfry,5abamRO41fE
4513509,4754211,midfry,5abamRO41fE
4819055,5083520,midfry,5abamRO41fE
5121920,5198770,midfry,5abamRO41fE
5219840,5438357,midfry,5abamRO41fE
5491079,5618149,clean,5abamRO41fE
5654077,5794690,clean,5abamRO41fE
5818633,5929600,clean,5abamRO41fE
5953920,6084157,clean,5abamRO41fE
7905055,8069356,midfry,5abamRO41fE
8218641,8370777,midfry,5abamRO41fE
8536509,8717136,midfry,5abamRO41fE
8858880,9048273,midfry,5abamRO41fE
9236811,9505936,midfry,5abamRO41fE
9551412,9874466,midfry,5abamRO41fE
9920842,10050324,clean,5abamRO41fE
10084745,10219156,clean,5abamRO41fE
10255554,10355840,clean,5abamRO41fE
10382720,10675862,clean,5abamRO41fE
10719233,10991202,clean,5abamRO41fE
11018240,11149152,clean,5abamRO41fE
11686268,11897120,layered,5abamRO41fE
11999596,12158586,layered,5abamRO41fE
