sample_start,sample_end,scream_type_start,video_id
838656,870048,midfry,5cEK1OLhUKQ
2795520,2919680,midfry,5cEK1OLhUKQ
3312000,3513600,midfry,5cEK1OLhUKQ
3529600,3688239,midfry,5cEK1OLhUKQ
3720764,3915373,midfry,5cEK1OLhUKQ
3938177,4169085,midfry,5cEK1OLhUKQ
4939904,5029903,midfry,5cEK1OLhUKQ
5134616,5257285,highfry,5cEK1OLhUKQ
5322673,5616640,highfry,5cEK1OLhUKQ
6017745,6201600,midfry,5cEK1OLhUKQ
6227825,6364721,midfry,5cEK1OLhUKQ
6404389,6608061,midfry,5cEK1OLhUKQ
6626274,6842342,midfry,5cEK1OLhUKQ
9763708,9870212,highfry,5cEK1OLhUKQ
9958329,10123933,highfry,5cEK1OLhUKQ
10152960,10511131,highfry,5cEK1OLhUKQ
