sample_start,sample_end,scream_type_start,video_id
1481254,1908278,midfry,731QmPnjqe4
1916603,2095970,midfry,731QmPnjqe4
2103616,2222537,midfry,731QmPnjqe4
2242664,3031136,midfry,731QmPnjqe4
3051816,3271221,clean,731QmPnjqe4
3316845,4382720,midfry,731QmPnjqe4
4392960,4521899,clean,731QmPnjqe4
4533646,5615401,clean,731QmPnjqe4
6236051,6947850,midfry,731QmPnjqe4
6956232,7119360,clean,731QmPnjqe4
7134720,7844720,midfry,731QmPnjqe4
10931617,11119827,clean,731QmPnjqe4
11140935,11335692,clean,731QmPnjqe4
11357368,11440681,clean,731QmPnjqe4
11459502,11545530,clean,731QmPnjqe4
11566987,11690880,clean,731QmPnjqe4
11701120,11875212,midfry,731QmPnjqe4
12830557,12892034,midfry,731QmPnjqe4
12903279,12993859,midfry,731QmPnjqe4
13015292,13932390,midfry,731QmPnjqe4
