sample_start,sample_end,scream_type_start,video_id
2540244,2726692,clean,74nTzbgDGWM
2735562,2908840,clean,74nTzbgDGWM
2949694,3127296,clean,74nTzbgDGWM
3141255,3507655,clean,74nTzbgDGWM
4888048,5945532,clean,74nTzbgDGWM
7015242,8037120,clean,74nTzbgDGWM
8060160,8164202,clean,74nTzbgDGWM
8220672,8329060,clean,74nTzbgDGWM
8381205,8479602,clean,74nTzbgDGWM
8542464,8640084,clean,74nTzbgDGWM
9688866,10304393,clean,74nTzbgDGWM
10339704,10684359,clean,74nTzbgDGWM
10694977,10797461,clean,74nTzbgDGWM
10852780,10948608,clean,74nTzbgDGWM
11011945,11103657,clean,74nTzbgDGWM
11161541,11461364,clean,74nTzbgDGWM
