sample_start,sample_end,scream_type_start,video_id
1155819,1297201,midfry,8256VJ4hkJU
1346162,1451149,midfry,8256VJ4hkJU
1539114,1815989,midfry,8256VJ4hkJU
1935004,2333684,midfry,8256VJ4hkJU
2508029,2572540,midfry,8256VJ4hkJU
2615930,2785940,midfry,8256VJ4hkJU
2810073,3377636,midfry,8256VJ4hkJU
5428638,5579291,midfry,8256VJ4hkJU
5602934,5749005,midfry,8256VJ4hkJU
5774523,5920411,midfry,8256VJ4hkJU
5943187,6249097,midfry,8256VJ4hkJU
6436521,6571008,midfry,8256VJ4hkJU
6609358,6753119,midfry,8256VJ4hkJU
6797685,7076532,midfry,8256VJ4hkJU
7205295,7627192,midfry,8256VJ4hkJU
7776546,7860786,midfry,8256VJ4hkJU
7893386,8041256,midfry,8256VJ4hkJU
8082893,8214216,midfry,8256VJ4hkJU
8224316,8379306,midfry,8256VJ4hkJU
8397732,8667492,midfry,8256VJ4hkJU
