sample_start,sample_end,scream_type_start,video_id
1431174,1558649,midfry,8gILuUdY2cU
1670505,1810861,midfry,8gILuUdY2cU
1904452,1951227,midfry,8gILuUdY2cU
1977492,2119717,midfry,8gILuUdY2cU
2139330,2248038,midfry,8gILuUdY2cU
2254761,2321280,midfry,8gILuUdY2cU
2327808,2425441,midfry,8gILuUdY2cU
2444699,2677516,midfry,8gILuUdY2cU
2693284,2766382,midfry,8gILuUdY2cU
2795973,3025960,midfry,8gILuUdY2cU
4256109,4378081,midfry,8gILuUdY2cU
4481492,4628121,midfry,8gILuUdY2cU
4720193,4862807,midfry,8gILuUdY2cU
4970487,5245021,midfry,8gILuUdY2cU
5268480,5303808,midfry,8gILuUdY2cU
5326848,5380293,midfry,8gILuUdY2cU
5476904,5585807,midfry,8gILuUdY2cU
5629555,5702590,midfry,8gILuUdY2cU
5731465,5832194,midfry,8gILuUdY2cU
5853249,5937694,midfry,8gILuUdY2cU
5954923,6156800,midfry,8gILuUdY2cU
6204933,6278738,midfry,8gILuUdY2cU
6301235,6388902,midfry,8gILuUdY2cU
6435087,6584334,midfry,8gILuUdY2cU
6618661,6650240,midfry,8gILuUdY2cU
7535986,7670735,midfry,8gILuUdY2cU
7678191,7800218,midfry,8gILuUdY2cU
7809270,7895672,midfry,8gILuUdY2cU
7901895,8123208,midfry,8gILuUdY2cU
8132482,8186880,midfry,8gILuUdY2cU
8194560,8232029,midfry,8gILuUdY2cU
8269077,8397797,midfry,8gILuUdY2cU
8405278,8552960,midfry,8gILuUdY2cU
11476819,11539691,midfry,8gILuUdY2cU
11547949,11634560,midfry,8gILuUdY2cU
11650560,11713067,midfry,8gILuUdY2cU
11720353,11807214,midfry,8gILuUdY2cU
11813681,11977634,midfry,8gILuUdY2cU
11984674,12170702,midfry,8gILuUdY2cU
12301309,12342400,midfry,8gILuUdY2cU
12358400,12504418,midfry,8gILuUdY2cU
12638422,12683009,midfry,8gILuUdY2cU
12706211,12980728,midfry,8gILuUdY2cU
12987651,13151754,midfry,8gILuUdY2cU
13160017,13318608,midfry,8gILuUdY2cU
13326294,13411072,midfry,8gILuUdY2cU
