sample_start,sample_end,scream_type_start,video_id
1823616,1903382,midfry,B3F10hXdmQY
2543386,2590286,midfry,B3F10hXdmQY
2603910,2758305,midfry,B3F10hXdmQY
2845295,3064090,midfry,B3F10hXdmQY
3142938,3357540,midfry,B3F10hXdmQY
3447796,3660480,midfry,B3F10hXdmQY
3750912,4142400,midfry,B3F10hXdmQY
4145600,4195520,highfry,B3F10hXdmQY
4221120,4336000,midfry,B3F10hXdmQY
4340160,4394880,highfry,B3F10hXdmQY
4413120,4732160,midfry,B3F10hXdmQY
4835200,5027840,midfry,B3F10hXdmQY
5133440,5330560,midfry,B3F10hXdmQY
5436800,5485440,midfry,B3F10hXdmQY
5494080,5650240,midfry,B3F10hXdmQY
5734720,5798080,midfry,B3F10hXdmQY
5813120,5991040,midfry,B3F10hXdmQY
6008640,6125568,midfry,B3F10hXdmQY
6130560,6183072,highfry,B3F10hXdmQY
6205472,6319712,midfry,B3F10hXdmQY
6325536,6379296,highfry,B3F10hXdmQY
6398560,6515936,midfry,B3F10hXdmQY
6760768,6773760,midfry,B3F10hXdmQY
7088704,7215712,midfry,B3F10hXdmQY
7538944,7596480,highfry,B3F10hXdmQY
7598976,7668640,midfry,B3F10hXdmQY
7738752,7867776,midfry,B3F10hXdmQY
7945504,8314513,midfry,B3F10hXdmQY
8909152,8949696,midfry,B3F10hXdmQY
8954624,8994048,midfry,B3F10hXdmQY
8999872,9068864,midfry,B3F10hXdmQY
9104928,9336544,midfry,B3F10hXdmQY
9676800,9830688,midfry,B3F10hXdmQY
9870784,10056256,midfry,B3F10hXdmQY
10288992,10347552,highfry,B3F10hXdmQY
10349184,10417120,midfry,B3F10hXdmQY
10738336,10824800,midfry,B3F10hXdmQY
