sample_start,sample_end,scream_type_start,video_id
1671040,1724342,clean,B7iIS91fMAc
1769895,1852591,clean,B7iIS91fMAc
1887720,1973046,clean,B7iIS91fMAc
1983360,2092516,midfry,B7iIS91fMAc
2545456,2608436,clean,B7iIS91fMAc
2650528,2741874,clean,B7iIS91fMAc
2774734,2852509,clean,B7iIS91fMAc
2871017,3161088,midfry,B7iIS91fMAc
3208438,3299328,midfry,B7iIS91fMAc
3315712,3370176,midfry,B7iIS91fMAc
3398300,3573688,midfry,B7iIS91fMAc
3597120,3747950,midfry,B7iIS91fMAc
3836160,4015702,midfry,B7iIS91fMAc
4049645,4143744,midfry,B7iIS91fMAc
4178048,4266262,midfry,B7iIS91fMAc
4372843,4470826,clean,B7iIS91fMAc
4487555,4578749,clean,B7iIS91fMAc
4605644,4680927,clean,B7iIS91fMAc
4699447,4843579,midfry,B7iIS91fMAc
5273519,5359376,clean,B7iIS91fMAc
5383122,5446782,clean,B7iIS91fMAc
5489764,5567385,clean,B7iIS91fMAc
5586851,6193152,midfry,B7iIS91fMAc
6279849,6469542,midfry,B7iIS91fMAc
6493824,6603415,midfry,B7iIS91fMAc
6642344,6709168,midfry,B7iIS91fMAc
8076725,8246170,midfry,B7iIS91fMAc
8268908,8420303,midfry,B7iIS91fMAc
8517057,8825069,midfry,B7iIS91fMAc
8863711,8940900,midfry,B7iIS91fMAc
