sample_start,sample_end,scream_type_start,video_id
8149223,8756902,layered,BNyYiTdqzAY
8807227,9672062,layered,BNyYiTdqzAY
9713256,9799779,clean,BNyYiTdqzAY
9807757,10222636,midfry,BNyYiTdqzAY
10778974,11365493,layered,BNyYiTdqzAY
11440761,11896252,layered,BNyYiTdqzAY
11904016,12100608,clean,BNyYiTdqzAY
17685339,18759966,midfry,BNyYiTdqzAY
18766562,18923160,highfry,BNyYiTdqzAY
18930251,19100947,layered,BNyYiTdqzAY
20242329,20470037,midfry,BNyYiTdqzAY
25748077,26380639,clean,BNyYiTdqzAY
26405895,26786559,clean,BNyYiTdqzAY
26835253,27019415,clean,BNyYiTdqzAY
27024488,27305919,layered,BNyYiTdqzAY
27332322,27661715,midfry,BNyYiTdqzAY
27709143,27875950,midfry,BNyYiTdqzAY
27916988,28021753,midfry,BNyYiTdqzAY
28083300,28187627,midfry,BNyYiTdqzAY
28249698,28544871,midfry,BNyYiTdqzAY
29035016,29315863,layered,BNyYiTdqzAY
29357877,29639022,layered,BNyYiTdqzAY
29678510,30434961,layered,BNyYiTdqzAY
30449407,30966012,layered,BNyYiTdqzAY
