sample_start,sample_end,scream_type_start,video_id
512218,705296,midfry,BR2kSva4NT8
746165,1114306,midfry,BR2kSva4NT8
1169262,2195139,midfry,BR2kSva4NT8
2238379,2419283,midfry,BR2kSva4NT8
2434988,2704927,midfry,BR2kSva4NT8
2736263,2845696,midfry,BR2kSva4NT8
2901248,3275776,midfry,BR2kSva4NT8
3425408,3509632,midfry,BR2kSva4NT8
3587584,3676288,midfry,BR2kSva4NT8
3806208,3908653,midfry,BR2kSva4NT8
3934546,4173588,midfry,BR2kSva4NT8
4611788,4734408,midfry,BR2kSva4NT8
4756107,4868173,midfry,BR2kSva4NT8
4894583,5162329,midfry,BR2kSva4NT8
5741723,5852596,midfry,BR2kSva4NT8
5876259,6027220,midfry,BR2kSva4NT8
6039351,6328188,midfry,BR2kSva4NT8
6375081,6462598,midfry,BR2kSva4NT8
6529280,6880961,midfry,BR2kSva4NT8
6924853,7042862,midfry,BR2kSva4NT8
7061018,7172672,midfry,BR2kSva4NT8
7208361,7482286,midfry,BR2kSva4NT8
7543588,7633722,midfry,BR2kSva4NT8
7636136,7722831,midfry,BR2kSva4NT8
7819701,7902504,midfry,BR2kSva4NT8
