sample_start,sample_end,scream_type_start,video_id
1858074,1966653,clean,C_voh9WFbsM
2003848,2389300,clean,C_voh9WFbsM
2429952,2969709,clean,C_voh9WFbsM
3065357,3257171,midfry,C_voh9WFbsM
3348351,3574634,midfry,C_voh9WFbsM
3630200,3866342,midfry,C_voh9WFbsM
3903121,4132462,midfry,C_voh9WFbsM
4199386,4421952,midfry,C_voh9WFbsM
4463103,4654069,midfry,C_voh9WFbsM
4693581,5223424,clean,C_voh9WFbsM
5244467,5788672,clean,C_voh9WFbsM
5897926,6071455,midfry,C_voh9WFbsM
6168674,6398775,midfry,C_voh9WFbsM
6443964,6673287,midfry,C_voh9WFbsM
6722886,6929255,midfry,C_voh9WFbsM
7020563,7219860,midfry,C_voh9WFbsM
7286580,7502229,midfry,C_voh9WFbsM
9272456,9470937,midfry,C_voh9WFbsM
9556228,9818823,midfry,C_voh9WFbsM
9981778,10221364,midfry,C_voh9WFbsM
10250714,10461819,midfry,C_voh9WFbsM
10536488,10760246,midfry,C_voh9WFbsM
10812273,11049837,midfry,C_voh9WFbsM
