sample_start,sample_end,scream_type_start,video_id
2172062,2470672,midfry,Czx-OIyrQwQ
2532084,2875249,midfry,Czx-OIyrQwQ
2894030,3201069,midfry,Czx-OIyrQwQ
3255381,3386572,midfry,Czx-OIyrQwQ
3397469,3441489,midfry,Czx-OIyrQwQ
3461057,3732825,midfry,Czx-OIyrQwQ
5045723,5336239,midfry,Czx-OIyrQwQ
5393134,5478935,midfry,Czx-OIyrQwQ
5526819,5722465,midfry,Czx-OIyrQwQ
5766834,6094562,midfry,Czx-OIyrQwQ
6136726,6443195,midfry,Czx-OIyrQwQ
7011826,7810597,layered,Czx-OIyrQwQ
8575816,9647616,layered,Czx-OIyrQwQ
