sample_start,sample_end,scream_type_start,video_id
4073315,4167995,midfry,Dhfy9TPga-c
4265984,4431239,midfry,Dhfy9TPga-c
4463755,4530497,midfry,Dhfy9TPga-c
4557006,4623749,midfry,Dhfy9TPga-c
4653629,4761578,midfry,Dhfy9TPga-c
4862203,5030400,clean,Dhfy9TPga-c
5033600,5198090,midfry,Dhfy9TPga-c
5254584,5406682,clean,Dhfy9TPga-c
5413116,5596350,midfry,Dhfy9TPga-c
5642862,5799838,clean,Dhfy9TPga-c
5805658,5977536,midfry,Dhfy9TPga-c
6031203,6195066,clean,Dhfy9TPga-c
6200901,6370225,midfry,Dhfy9TPga-c
6418209,6502400,midfry,Dhfy9TPga-c
6513920,6580690,midfry,Dhfy9TPga-c
6606682,6693927,midfry,Dhfy9TPga-c
6707379,6790357,midfry,Dhfy9TPga-c
6801322,6888128,midfry,Dhfy9TPga-c
6905289,6980821,midfry,Dhfy9TPga-c
6999626,7077347,midfry,Dhfy9TPga-c
7092723,7186647,midfry,Dhfy9TPga-c
7195073,7341091,clean,Dhfy9TPga-c
7346684,7520640,midfry,Dhfy9TPga-c
7581962,7750890,clean,Dhfy9TPga-c
7758502,7934901,midfry,Dhfy9TPga-c
7975738,8126498,clean,Dhfy9TPga-c
8133223,8302617,midfry,Dhfy9TPga-c
8357087,8517595,clean,Dhfy9TPga-c
8524335,8705378,midfry,Dhfy9TPga-c
8748772,8823904,midfry,Dhfy9TPga-c
8844160,8928554,midfry,Dhfy9TPga-c
8940937,9014497,midfry,Dhfy9TPga-c
9037873,9115458,midfry,Dhfy9TPga-c
9137252,9210240,midfry,Dhfy9TPga-c
9234693,9300369,midfry,Dhfy9TPga-c
9332128,9403898,midfry,Dhfy9TPga-c
9419926,9503758,midfry,Dhfy9TPga-c
9523311,9586755,midfry,Dhfy9TPga-c
9619850,9698441,midfry,Dhfy9TPga-c
9725279,9793466,midfry,Dhfy9TPga-c
9811435,9907471,midfry,Dhfy9TPga-c
9915307,9989667,midfry,Dhfy9TPga-c
10009669,10082588,midfry,Dhfy9TPga-c
10103145,10177296,midfry,Dhfy9TPga-c
10184960,10303516,midfry,Dhfy9TPga-c
