sample_start,sample_end,scream_type_start,video_id
4340648,4414994,midfry,ErTgN2zoTkA
4444732,4511328,midfry,ErTgN2zoTkA
4550890,4643750,midfry,ErTgN2zoTkA
4657366,4799897,midfry,ErTgN2zoTkA
5196756,5265887,midfry,ErTgN2zoTkA
5301436,5376486,midfry,ErTgN2zoTkA
5416397,5484106,midfry,ErTgN2zoTkA
5528722,5667801,midfry,ErTgN2zoTkA
5910701,6192461,clean,ErTgN2zoTkA
6287393,6595936,clean,ErTgN2zoTkA
8069075,8161878,midfry,ErTgN2zoTkA
8185438,8260823,midfry,ErTgN2zoTkA
8314739,8473318,midfry,ErTgN2zoTkA
8511158,8691141,midfry,ErTgN2zoTkA
8728253,8939891,midfry,ErTgN2zoTkA
9356341,9453062,midfry,ErTgN2zoTkA
9471186,9568402,midfry,ErTgN2zoTkA
9588646,9814192,midfry,ErTgN2zoTkA
10011544,10362816,clean,ErTgN2zoTkA
10456800,10537268,clean,ErTgN2zoTkA
10566976,10763391,clean,ErTgN2zoTkA
