sample_start,sample_end,scream_type_start,video_id
63200,141056,lowfry,F3A_3c882us
149248,376320,highfry,F3A_3c882us
403200,573408,highfry,F3A_3c882us
574416,737920,lowfry,F3A_3c882us
744640,864000,highfry,F3A_3c882us
864576,1081856,lowfry,F3A_3c882us
1086464,1205914,highfry,F3A_3c882us
1207136,1936512,layered,F3A_3c882us
2623840,2788704,lowfry,F3A_3c882us
2792448,2910080,highfry,F3A_3c882us
2910880,3129408,lowfry,F3A_3c882us
3134208,3250464,highfry,F3A_3c882us
3251920,3306960,lowfry,F3A_3c882us
3987456,4692502,lowfry,F3A_3c882us
5355449,5436724,lowfry,F3A_3c882us
5438720,5669553,highfry,F3A_3c882us
5692928,5886752,highfry,F3A_3c882us
6526537,7254823,lowfry,F3A_3c882us
7418671,7464718,lowfry,F3A_3c882us
7586816,8056855,lowfry,F3A_3c882us
