sample_start,sample_end,scream_type_start,video_id
2007681,2134663,midfry,FNdC_3LR2AI
2240512,2390016,midfry,FNdC_3LR2AI
2473984,2618368,midfry,FNdC_3LR2AI
2708480,2927616,midfry,FNdC_3LR2AI
3288064,3404800,midfry,FNdC_3LR2AI
3475456,3957760,midfry,FNdC_3LR2AI
3992576,4297525,midfry,FNdC_3LR2AI
4478976,4600805,midfry,FNdC_3LR2AI
4691499,4818191,midfry,FNdC_3LR2AI
4910664,5011053,midfry,FNdC_3LR2AI
5081172,5217815,midfry,FNdC_3LR2AI
5250540,5522365,midfry,FNdC_3LR2AI
5582833,5687180,midfry,FNdC_3LR2AI
5766309,5896249,midfry,FNdC_3LR2AI
5955252,6244025,midfry,FNdC_3LR2AI
7648370,7764078,midfry,FNdC_3LR2AI
7810915,7964728,midfry,FNdC_3LR2AI
7997190,8261636,midfry,FNdC_3LR2AI
8341798,8434870,midfry,FNdC_3LR2AI
8511123,8645414,midfry,FNdC_3LR2AI
8706397,8979597,midfry,FNdC_3LR2AI
8983296,9404513,clean,FNdC_3LR2AI
9441920,9871963,clean,FNdC_3LR2AI
9907084,10325847,clean,FNdC_3LR2AI
10366080,10583040,clean,FNdC_3LR2AI
10591360,10835052,layered,FNdC_3LR2AI
