sample_start,sample_end,scream_type_start,video_id
849920,1223680,lowfry,FukeNR1ydOA
1467392,1643520,highfry,FukeNR1ydOA
1672192,1709056,midfry,FukeNR1ydOA
2118656,2265088,highfry,FukeNR1ydOA
2343936,2528256,highfry,FukeNR1ydOA
2991887,3145207,highfry,FukeNR1ydOA
3210778,3400955,highfry,FukeNR1ydOA
3431095,3603456,highfry,FukeNR1ydOA
3650454,3867483,highfry,FukeNR1ydOA
4001883,4129344,lowfry,FukeNR1ydOA
4141440,4407247,highfry,FukeNR1ydOA
4537665,4958246,highfry,FukeNR1ydOA
5016024,5097275,midfry,FukeNR1ydOA
5147378,5222135,highfry,FukeNR1ydOA
5331200,5378688,highfry,FukeNR1ydOA
6411288,6467314,midfry,FukeNR1ydOA
6662707,6853804,lowfry,FukeNR1ydOA
6886407,7002280,lowfry,FukeNR1ydOA
7038427,7247799,highfry,FukeNR1ydOA
7405735,7440792,highfry,FukeNR1ydOA
8059343,8292095,lowfry,FukeNR1ydOA
8320974,8443801,lowfry,FukeNR1ydOA
8453279,8592419,highfry,FukeNR1ydOA
8608692,8728022,midfry,FukeNR1ydOA
8787153,8870138,highfry,FukeNR1ydOA
8884177,8965698,highfry,FukeNR1ydOA
8979115,9057922,highfry,FukeNR1ydOA
9073008,9149120,highfry,FukeNR1ydOA
9163829,9246474,highfry,FukeNR1ydOA
9263048,9339302,midfry,FukeNR1ydOA
9364695,9549089,highfry,FukeNR1ydOA
