sample_start,sample_end,scream_type_start,video_id
757248,896116,midfry,GLu-E42-RmA
915664,1043940,midfry,GLu-E42-RmA
1069336,1205669,highfry,GLu-E42-RmA
1242112,1338682,midfry,GLu-E42-RmA
1352629,1967616,midfry,GLu-E42-RmA
1975680,2618776,clean,GLu-E42-RmA
2625161,2915670,midfry,GLu-E42-RmA
2919616,3235008,clean,GLu-E42-RmA
3331857,3614640,midfry,GLu-E42-RmA
3623074,3950699,highfry,GLu-E42-RmA
4002671,4608549,clean,GLu-E42-RmA
4638982,4920184,midfry,GLu-E42-RmA
4949326,5225491,midfry,GLu-E42-RmA
5306521,5930400,midfry,GLu-E42-RmA
5931296,6559132,clean,GLu-E42-RmA
6577248,6847727,midfry,GLu-E42-RmA
6860032,7168269,clean,GLu-E42-RmA
7555298,7850363,midfry,GLu-E42-RmA
8068304,8138034,midfry,GLu-E42-RmA
