sample_start,sample_end,scream_type_start,video_id
644297,877629,midfry,GZqfH1LQEOQ
937574,1044885,midfry,GZqfH1LQEOQ
1071202,1197909,midfry,GZqfH1LQEOQ
1239552,1491260,midfry,GZqfH1LQEOQ
1574151,1717248,midfry,GZqfH1LQEOQ
1824768,1918464,midfry,GZqfH1LQEOQ
1972992,2091264,midfry,GZqfH1LQEOQ
2133504,2230272,midfry,GZqfH1LQEOQ
2259456,2871646,midfry,GZqfH1LQEOQ
2922119,3037839,midfry,GZqfH1LQEOQ
3066676,3203417,midfry,GZqfH1LQEOQ
3223157,3513185,midfry,GZqfH1LQEOQ
3741378,3859321,midfry,GZqfH1LQEOQ
3900048,4009884,midfry,GZqfH1LQEOQ
4034873,4157073,midfry,GZqfH1LQEOQ
4189447,4325683,midfry,GZqfH1LQEOQ
4456257,4592301,midfry,GZqfH1LQEOQ
4685706,4969038,midfry,GZqfH1LQEOQ
4995544,5424549,midfry,GZqfH1LQEOQ
6860586,7106263,midfry,GZqfH1LQEOQ
7161818,7273367,midfry,GZqfH1LQEOQ
7301162,7405525,midfry,GZqfH1LQEOQ
7451855,8050944,midfry,GZqfH1LQEOQ
8102400,8124672,midfry,GZqfH1LQEOQ
8954981,10306849,midfry,GZqfH1LQEOQ
