sample_start,sample_end,scream_type_start,video_id
2187264,2825388,midfry,HKWqzjQAv14
2916746,2970240,midfry,HKWqzjQAv14
2991744,3117108,midfry,HKWqzjQAv14
3377688,3502848,midfry,HKWqzjQAv14
3526656,3657400,midfry,HKWqzjQAv14
3682982,3817178,midfry,HKWqzjQAv14
3832089,3956021,midfry,HKWqzjQAv14
3981615,4117180,midfry,HKWqzjQAv14
4133951,4315265,midfry,HKWqzjQAv14
4892064,5013147,midfry,HKWqzjQAv14
5040682,5163896,midfry,HKWqzjQAv14
5190879,5321892,midfry,HKWqzjQAv14
5344389,5505141,midfry,HKWqzjQAv14
5530912,5657267,midfry,HKWqzjQAv14
5681559,5815833,midfry,HKWqzjQAv14
6071818,6431565,layered,HKWqzjQAv14
6679872,6924514,layered,HKWqzjQAv14
6976156,7119957,midfry,HKWqzjQAv14
8185469,8313110,midfry,HKWqzjQAv14
8337417,8459669,midfry,HKWqzjQAv14
8483317,8612236,midfry,HKWqzjQAv14
8635956,8721695,midfry,HKWqzjQAv14
8730335,8804273,midfry,HKWqzjQAv14
8931653,9105180,midfry,HKWqzjQAv14
9377211,9722112,layered,HKWqzjQAv14
9977179,10289464,layered,HKWqzjQAv14
10576517,10829602,layered,HKWqzjQAv14
