sample_start,sample_end,scream_type_start,video_id
1079296,1181696,clean,HL9kaJZw8iw
1331200,1427764,clean,HL9kaJZw8iw
1490646,1579440,clean,HL9kaJZw8iw
1932825,2126871,midfry,HL9kaJZw8iw
2233583,2415089,midfry,HL9kaJZw8iw
2541991,2653166,midfry,HL9kaJZw8iw
2689867,2872970,midfry,HL9kaJZw8iw
2907623,3060969,midfry,HL9kaJZw8iw
3651872,3655008,midfry,HL9kaJZw8iw
3732960,4078848,highfry,HL9kaJZw8iw
4297443,4382520,midfry,HL9kaJZw8iw
4640567,4683711,midfry,HL9kaJZw8iw
4800960,4831360,midfry,HL9kaJZw8iw
4978270,5041596,midfry,HL9kaJZw8iw
5166200,5197611,midfry,HL9kaJZw8iw
5785056,5787648,midfry,HL9kaJZw8iw
5866818,6121281,highfry,HL9kaJZw8iw
6207719,6451610,midfry,HL9kaJZw8iw
6532141,6768482,midfry,HL9kaJZw8iw
6854091,7457561,midfry,HL9kaJZw8iw
7501056,7502592,midfry,HL9kaJZw8iw
8063090,8173953,highfry,HL9kaJZw8iw
8308446,8494555,midfry,HL9kaJZw8iw
8645149,8809134,midfry,HL9kaJZw8iw
8944419,9129932,midfry,HL9kaJZw8iw
9423300,,midfry,HL9kaJZw8iw
