sample_start,sample_end,scream_type_start,video_id
76800,192867,midfry,HUUBI7RJtr8
229336,499412,midfry,HUUBI7RJtr8
528082,655166,midfry,HUUBI7RJtr8
674641,1328576,midfry,HUUBI7RJtr8
1338783,1393743,midfry,HUUBI7RJtr8
1415772,1526664,midfry,HUUBI7RJtr8
1564426,1673751,midfry,HUUBI7RJtr8
1708818,1913856,midfry,HUUBI7RJtr8
1932288,1989283,midfry,HUUBI7RJtr8
2005248,2103552,midfry,HUUBI7RJtr8
2153472,2264026,midfry,HUUBI7RJtr8
2311286,2430892,midfry,HUUBI7RJtr8
2924734,2954560,midfry,HUUBI7RJtr8
2968000,3049494,midfry,HUUBI7RJtr8
3066940,3140328,midfry,HUUBI7RJtr8
3167829,3280572,midfry,HUUBI7RJtr8
3297373,3366875,midfry,HUUBI7RJtr8
3417087,3457216,midfry,HUUBI7RJtr8
3468809,3539200,midfry,HUUBI7RJtr8
3551296,3896584,midfry,HUUBI7RJtr8
3965875,3995634,midfry,HUUBI7RJtr8
4072768,4380724,midfry,HUUBI7RJtr8
4567481,4734464,midfry,HUUBI7RJtr8
5268264,5453308,midfry,HUUBI7RJtr8
5499200,5637184,midfry,HUUBI7RJtr8
5656448,5827052,midfry,HUUBI7RJtr8
5859746,5999616,midfry,HUUBI7RJtr8
6024256,6098951,midfry,HUUBI7RJtr8
6172213,6202803,midfry,HUUBI7RJtr8
6219376,6291149,midfry,HUUBI7RJtr8
6409282,6485804,midfry,HUUBI7RJtr8
6556098,6581555,midfry,HUUBI7RJtr8
6606998,6673944,midfry,HUUBI7RJtr8
6793729,6867480,midfry,HUUBI7RJtr8
6939969,6968192,midfry,HUUBI7RJtr8
6990144,7058973,midfry,HUUBI7RJtr8
7177626,7255024,midfry,HUUBI7RJtr8
7326872,7356274,midfry,HUUBI7RJtr8
7375928,7443338,midfry,HUUBI7RJtr8
7493783,7565933,midfry,HUUBI7RJtr8
