sample_start,sample_end,scream_type_start,video_id
1142784,1585152,midfry,IO-JbFtgeX4
1810944,2803200,midfry,IO-JbFtgeX4
2841600,3063040,midfry,IO-JbFtgeX4
3070720,3620235,clean,IO-JbFtgeX4
3628800,3932312,layered,IO-JbFtgeX4
3939712,4331376,clean,IO-JbFtgeX4
4396951,5122178,midfry,IO-JbFtgeX4
5148060,5271406,midfry,IO-JbFtgeX4
5315062,5562167,midfry,IO-JbFtgeX4
5592495,5761405,midfry,IO-JbFtgeX4
5862528,5984464,midfry,IO-JbFtgeX4
6165374,6722688,midfry,IO-JbFtgeX4
6725120,7044491,clean,IO-JbFtgeX4
7053847,7493631,clean,IO-JbFtgeX4
7554792,7643916,midfry,IO-JbFtgeX4
7713734,8011162,midfry,IO-JbFtgeX4
8025618,8624755,midfry,IO-JbFtgeX4
9273780,9539134,clean,IO-JbFtgeX4
9568417,9729224,clean,IO-JbFtgeX4
9738938,9841217,clean,IO-JbFtgeX4
9856515,10478438,clean,IO-JbFtgeX4
10480960,10664778,layered,IO-JbFtgeX4
10830380,10976104,midfry,IO-JbFtgeX4
10986240,11169830,midfry,IO-JbFtgeX4
11307535,11790513,midfry,IO-JbFtgeX4
