sample_start,sample_end,scream_type_start,video_id
980224,1046528,midfry,JuRRnVqv2Vc
1070720,1173849,midfry,JuRRnVqv2Vc
1224540,1392324,midfry,JuRRnVqv2Vc
1496275,1591140,midfry,JuRRnVqv2Vc
1624594,1706628,midfry,JuRRnVqv2Vc
1734229,1895286,midfry,JuRRnVqv2Vc
3063338,3198720,highfry,JuRRnVqv2Vc
3205888,3439819,midfry,JuRRnVqv2Vc
3451860,3562240,midfry,JuRRnVqv2Vc
3565440,3696480,highfry,JuRRnVqv2Vc
3705984,3814272,midfry,JuRRnVqv2Vc
3816960,3940992,highfry,JuRRnVqv2Vc
3953376,4052448,midfry,JuRRnVqv2Vc
4122144,4209984,midfry,JuRRnVqv2Vc
4247867,4328352,midfry,JuRRnVqv2Vc
4591735,4637670,midfry,JuRRnVqv2Vc
4665971,4830854,midfry,JuRRnVqv2Vc
6214948,6343016,midfry,JuRRnVqv2Vc
6356316,6413311,midfry,JuRRnVqv2Vc
6444843,6660048,midfry,JuRRnVqv2Vc
6725414,7143411,midfry,JuRRnVqv2Vc
7195721,7265568,midfry,JuRRnVqv2Vc
7267392,7337952,highfry,JuRRnVqv2Vc
7824992,7952224,midfry,JuRRnVqv2Vc
7964096,8074496,midfry,JuRRnVqv2Vc
8076032,8197728,highfry,JuRRnVqv2Vc
8214752,8319643,midfry,JuRRnVqv2Vc
8381856,8473615,midfry,JuRRnVqv2Vc
8507671,8589493,midfry,JuRRnVqv2Vc
8880330,8971990,midfry,JuRRnVqv2Vc
9008720,9149917,midfry,JuRRnVqv2Vc
9181689,9339172,midfry,JuRRnVqv2Vc
9624363,9908293,midfry,JuRRnVqv2Vc
10502900,10625733,midfry,JuRRnVqv2Vc
10900516,11066110,midfry,JuRRnVqv2Vc
11203038,11481409,midfry,JuRRnVqv2Vc
11689517,11725120,midfry,JuRRnVqv2Vc
11728320,12079591,highfry,JuRRnVqv2Vc
