sample_start,sample_end,scream_type_start,video_id
718848,1150433,midfry,K5pMoSECagE
1516052,2308867,midfry,K5pMoSECagE
2597548,2717338,midfry,K5pMoSECagE
3092480,3401647,midfry,K5pMoSECagE
3481951,3800664,midfry,K5pMoSECagE
3872966,4046369,midfry,K5pMoSECagE
4662016,4964253,midfry,K5pMoSECagE
4988780,5169922,midfry,K5pMoSECagE
5192572,5466597,midfry,K5pMoSECagE
5852017,6742035,midfry,K5pMoSECagE
8610560,8907264,midfry,K5pMoSECagE
8936064,9300266,midfry,K5pMoSECagE
9322616,9422057,midfry,K5pMoSECagE
9891437,10003968,midfry,K5pMoSECagE
