sample_start,sample_end,scream_type_start,video_id
596707,879885,midfry,_duhhVa-dk8
934150,1167858,midfry,_duhhVa-dk8
1357440,1484928,midfry,_duhhVa-dk8
1624128,1765440,midfry,_duhhVa-dk8
1900992,2053440,midfry,_duhhVa-dk8
2178240,2316542,midfry,_duhhVa-dk8
2475200,2560960,midfry,_duhhVa-dk8
2702356,2761536,midfry,_duhhVa-dk8
2930421,3013230,midfry,_duhhVa-dk8
3145135,3221625,midfry,_duhhVa-dk8
5044992,5077056,midfry,_duhhVa-dk8
5094528,5129664,midfry,_duhhVa-dk8
5145792,5172864,midfry,_duhhVa-dk8
5190720,5224896,midfry,_duhhVa-dk8
5248704,5281344,midfry,_duhhVa-dk8
5295360,5329152,midfry,_duhhVa-dk8
5350848,5388672,midfry,_duhhVa-dk8
5402880,5438976,midfry,_duhhVa-dk8
5454336,5827847,highfry,_duhhVa-dk8
9052416,9317204,midfry,_duhhVa-dk8
9373793,9587712,midfry,_duhhVa-dk8
9785578,9927394,midfry,_duhhVa-dk8
10049515,10186200,midfry,_duhhVa-dk8
10315676,10477077,midfry,_duhhVa-dk8
10595165,10722731,midfry,_duhhVa-dk8
10889373,10963594,midfry,_duhhVa-dk8
11097391,11183592,midfry,_duhhVa-dk8
11344237,11424735,midfry,_duhhVa-dk8
11547951,11638213,midfry,_duhhVa-dk8
