sample_start,sample_end,scream_type_start,video_id
529675,761930,highfry,aNJXS9X0yY0
967999,1014458,midfry,aNJXS9X0yY0
2081784,2589956,midfry,aNJXS9X0yY0
2753975,3188864,midfry,aNJXS9X0yY0
3193344,3384512,highfry,aNJXS9X0yY0
3673072,3718550,midfry,aNJXS9X0yY0
4112877,5030028,midfry,aNJXS9X0yY0
5064012,5509632,midfry,aNJXS9X0yY0
5511936,5603016,highfry,aNJXS9X0yY0
5721556,6222720,midfry,aNJXS9X0yY0
6223296,6259680,highfry,aNJXS9X0yY0
6276390,7217134,midfry,aNJXS9X0yY0
8531541,9416683,midfry,aNJXS9X0yY0
9428403,9641886,midfry,aNJXS9X0yY0
9766782,9857268,midfry,aNJXS9X0yY0
9864518,10295863,midfry,aNJXS9X0yY0
