sample_start,sample_end,scream_type_start,video_id
3096725,3470133,midfry,ainbICPRV8Y
4032698,4147879,midfry,ainbICPRV8Y
4201959,4315009,midfry,ainbICPRV8Y
4354109,4464384,midfry,ainbICPRV8Y
4505088,4717579,midfry,ainbICPRV8Y
5291898,5387619,midfry,ainbICPRV8Y
5444784,5529984,midfry,ainbICPRV8Y
5574144,5713783,midfry,ainbICPRV8Y
5744640,5878233,midfry,ainbICPRV8Y
5905152,6029028,midfry,ainbICPRV8Y
6053500,6323498,midfry,ainbICPRV8Y
6379968,6445824,midfry,ainbICPRV8Y
9122379,9317504,midfry,ainbICPRV8Y
9461760,9569361,midfry,ainbICPRV8Y
9609883,9718347,midfry,ainbICPRV8Y
9760842,9905652,midfry,ainbICPRV8Y
9939790,10074176,midfry,ainbICPRV8Y
10089218,10509632,midfry,ainbICPRV8Y
10552463,10644161,midfry,ainbICPRV8Y
10698460,10942848,midfry,ainbICPRV8Y
10969972,11106568,midfry,ainbICPRV8Y
11156480,11240772,midfry,ainbICPRV8Y
17968128,18135428,midfry,ainbICPRV8Y
18175706,18345251,midfry,ainbICPRV8Y
18387563,18556383,midfry,ainbICPRV8Y
18652442,18801380,midfry,ainbICPRV8Y
21257472,21449619,midfry,ainbICPRV8Y
