sample_start,sample_end,scream_type_start,video_id
569088,854336,midfry,c5uP9PlEDro
856576,995242,highfry,c5uP9PlEDro
997056,1183488,midfry,c5uP9PlEDro
1216512,1266432,highfry,c5uP9PlEDro
1291008,1365504,highfry,c5uP9PlEDro
1429248,1484544,highfry,c5uP9PlEDro
1500672,1612032,highfry,c5uP9PlEDro
1694864,1732598,midfry,c5uP9PlEDro
1760592,1874405,highfry,c5uP9PlEDro
1977470,2013659,midfry,c5uP9PlEDro
2040165,2229126,highfry,c5uP9PlEDro
2275873,2472817,highfry,c5uP9PlEDro
2559134,2763792,highfry,c5uP9PlEDro
2822544,2867172,highfry,c5uP9PlEDro
2889411,3011462,highfry,c5uP9PlEDro
3099643,3149508,highfry,c5uP9PlEDro
3173728,3433409,highfry,c5uP9PlEDro
3628492,3850170,midfry,c5uP9PlEDro
3870720,4423680,highfry,c5uP9PlEDro
4471296,4902144,highfry,c5uP9PlEDro
4962816,5054171,highfry,c5uP9PlEDro
5079319,5124476,highfry,c5uP9PlEDro
5140612,5556042,highfry,c5uP9PlEDro
5882368,6010489,highfry,c5uP9PlEDro
6027625,6138623,highfry,c5uP9PlEDro
6164397,6274840,highfry,c5uP9PlEDro
6308286,6422097,highfry,c5uP9PlEDro
6450289,6488869,highfry,c5uP9PlEDro
6519926,6634186,highfry,c5uP9PlEDro
6730812,6778338,highfry,c5uP9PlEDro
6804633,6996598,highfry,c5uP9PlEDro
8283834,8453260,highfry,c5uP9PlEDro
8567596,8750887,highfry,c5uP9PlEDro
8848190,9022920,highfry,c5uP9PlEDro
9133451,9440447,highfry,c5uP9PlEDro
9838907,9893168,highfry,c5uP9PlEDro
9922913,9978866,highfry,c5uP9PlEDro
9996269,10062669,highfry,c5uP9PlEDro
10134528,10188562,highfry,c5uP9PlEDro
10201139,10356537,highfry,c5uP9PlEDro
10401494,10440798,highfry,c5uP9PlEDro
10471600,10578898,highfry,c5uP9PlEDro
10683480,10731900,highfry,c5uP9PlEDro
10754489,10949945,highfry,c5uP9PlEDro
10967676,11036831,highfry,c5uP9PlEDro
11111788,11202309,highfry,c5uP9PlEDro
11244412,11312815,highfry,c5uP9PlEDro
11341731,11525822,highfry,c5uP9PlEDro
