sample_start,sample_end,scream_type_start,video_id
_midfry,_midfry,midfry,dCyxGNbBWAk
_midfry,_midfry,midfry,dCyxGNbBWAk
_layered,_layered,layered,dCyxGNbBWAk
_midfry,_midfry,midfry,dCyxGNbBWAk
_highfry,_highfry,highfry,dCyxGNbBWAk
_midfry,_midfry,midfry,dCyxGNbBWAk
_midfry,_midfry,midfry,dCyxGNbBWAk
_midfry,_midfry,midfry,dCyxGNbBWAk
_midfry,_midfry,midfry,dCyxGNbBWAk
_midfry,_midfry,midfry,dCyxGNbBWAk
_midfry,_midfry,midfry,dCyxGNbBWAk
_layered,_layered,layered,dCyxGNbBWAk
_clean,_clean,clean,dCyxGNbBWAk
_layered,_layered,layered,dCyxGNbBWAk
_highfry,_highfry,highfry,dCyxGNbBWAk
_midfry,_midfry,midfry,dCyxGNbBWAk
_midfry,_midfry,midfry,dCyxGNbBWAk
_highfry,_highfry,highfry,dCyxGNbBWAk
_highfry,_highfry,highfry,dCyxGNbBWAk
_midfry,_midfry,midfry,dCyxGNbBWAk
_highfry,_highfry,highfry,dCyxGNbBWAk
_midfry,_midfry,midfry,dCyxGNbBWAk
_midfry,_midfry,midfry,dCyxGNbBWAk
_midfry,_midfry,midfry,dCyxGNbBWAk
_midfry,_midfry,midfry,dCyxGNbBWAk
_midfry,_midfry,midfry,dCyxGNbBWAk
_midfry,_midfry,midfry,dCyxGNbBWAk
_clean,_clean,clean,dCyxGNbBWAk
_clean,_clean,clean,dCyxGNbBWAk
_layered,_layered,layered,dCyxGNbBWAk
_layered,_layered,layered,dCyxGNbBWAk
_midfry,_midfry,midfry,dCyxGNbBWAk
_midfry,_midfry,midfry,dCyxGNbBWAk
_highfry,_highfry,highfry,dCyxGNbBWAk
_highfry,_highfry,highfry,dCyxGNbBWAk
_midfry,_midfry,midfry,dCyxGNbBWAk
_midfry,_midfry,midfry,dCyxGNbBWAk
_midfry,_midfry,midfry,dCyxGNbBWAk
