sample_start,sample_end,scream_type_start,video_id
519813,687207,highfry,ds9s-pzGD0M
714009,802816,lowfry,ds9s-pzGD0M
1062313,1218761,midfry,ds9s-pzGD0M
1236700,1350912,midfry,ds9s-pzGD0M
1354752,2221056,highfry,ds9s-pzGD0M
2261376,2408584,highfry,ds9s-pzGD0M
2435328,2528295,highfry,ds9s-pzGD0M
2553424,2749468,midfry,ds9s-pzGD0M
2757460,2806052,midfry,ds9s-pzGD0M
3105150,3253524,layered,ds9s-pzGD0M
3279945,3453952,layered,ds9s-pzGD0M
3458304,4216214,highfry,ds9s-pzGD0M
4304714,4425921,highfry,ds9s-pzGD0M
4453148,4593857,highfry,ds9s-pzGD0M
4609538,4796153,highfry,ds9s-pzGD0M
4797280,5121412,midfry,ds9s-pzGD0M
5145918,5279221,lowfry,ds9s-pzGD0M
5303129,5467136,lowfry,ds9s-pzGD0M
6749628,7293952,highfry,ds9s-pzGD0M
7318016,7601770,highfry,ds9s-pzGD0M
7625728,7781973,layered,ds9s-pzGD0M
7807738,7957629,layered,ds9s-pzGD0M
7979129,8140199,layered,ds9s-pzGD0M
8155931,8348567,layered,ds9s-pzGD0M
