sample_start,sample_end,scream_type_start,video_id
3804481,4195611,highfry,ebSxxr726_8
5074966,6188578,highfry,ebSxxr726_8
6203326,6343796,highfry,ebSxxr726_8
6350784,8944944,clean,ebSxxr726_8
10796160,10848096,lowfry,ebSxxr726_8
10850112,10898496,highfry,ebSxxr726_8
10930464,11007360,highfry,ebSxxr726_8
11009952,11073616,lowfry,ebSxxr726_8
11102688,11179584,highfry,ebSxxr726_8
11233660,11350656,highfry,ebSxxr726_8
11355560,11479607,clean,ebSxxr726_8
12742646,12784600,midfry,ebSxxr726_8
14350636,14464800,clean,ebSxxr726_8
14466144,15080576,layered,ebSxxr726_8
15083264,16573780,clean,ebSxxr726_8
17861151,20514569,clean,ebSxxr726_8
20623831,20897261,highfry,ebSxxr726_8
21037743,21111835,clean,ebSxxr726_8
21171200,21414912,clean,ebSxxr726_8
21466112,21716352,clean,ebSxxr726_8
21725568,22217856,highfry,ebSxxr726_8
22228224,22344440,clean,ebSxxr726_8
22345792,22588616,highfry,ebSxxr726_8
22613010,22718444,highfry,ebSxxr726_8
22742898,22864000,highfry,ebSxxr726_8
22865136,22973978,clean,ebSxxr726_8
