sample_start,sample_end,scream_type_start,video_id
1500944,1741050,midfry,edBYB1VCV0k
2363207,2473317,midfry,edBYB1VCV0k
2499148,2769026,midfry,edBYB1VCV0k
2831825,2925226,midfry,edBYB1VCV0k
2953986,3030601,midfry,edBYB1VCV0k
3049506,3208511,midfry,edBYB1VCV0k
3290472,4190773,midfry,edBYB1VCV0k
4399206,5250956,midfry,edBYB1VCV0k
5281249,6194122,midfry,edBYB1VCV0k
6379142,6645273,midfry,edBYB1VCV0k
7057980,7154991,midfry,edBYB1VCV0k
7171473,7239960,midfry,edBYB1VCV0k
7272960,7373318,midfry,edBYB1VCV0k
7390936,7471473,midfry,edBYB1VCV0k
7500328,7687614,midfry,edBYB1VCV0k
7718328,7916596,midfry,edBYB1VCV0k
7943743,8114290,midfry,edBYB1VCV0k
8163843,8341252,midfry,edBYB1VCV0k
8382159,8558207,midfry,edBYB1VCV0k
8605271,8832059,midfry,edBYB1VCV0k
10158762,10579555,midfry,edBYB1VCV0k
10603576,11064041,midfry,edBYB1VCV0k
