sample_start,sample_end,scream_type_start,video_id
2090052,2144178,midfry,gG3JZ5vGJsk
2777297,2800755,midfry,gG3JZ5vGJsk
2950933,3235368,midfry,gG3JZ5vGJsk
3271127,3663658,midfry,gG3JZ5vGJsk
3923877,4216733,midfry,gG3JZ5vGJsk
4257814,4307520,layered,gG3JZ5vGJsk
4310208,4682608,midfry,gG3JZ5vGJsk
4723212,4842608,midfry,gG3JZ5vGJsk
4892125,5030474,midfry,gG3JZ5vGJsk
5058615,5173252,midfry,gG3JZ5vGJsk
5226551,5338640,midfry,gG3JZ5vGJsk
5385713,5509642,midfry,gG3JZ5vGJsk
5558272,5663026,midfry,gG3JZ5vGJsk
5713408,5824945,midfry,gG3JZ5vGJsk
6645539,6897641,midfry,gG3JZ5vGJsk
6944975,6992896,layered,gG3JZ5vGJsk
6993920,7101062,midfry,gG3JZ5vGJsk
7117266,7215421,midfry,gG3JZ5vGJsk
7261996,7370654,midfry,gG3JZ5vGJsk
7427695,7542983,midfry,gG3JZ5vGJsk
7581320,7701747,midfry,gG3JZ5vGJsk
7753730,7864312,midfry,gG3JZ5vGJsk
11163498,11276301,midfry,gG3JZ5vGJsk
11313295,11433752,midfry,gG3JZ5vGJsk
11488230,11623360,midfry,gG3JZ5vGJsk
11654305,11762895,midfry,gG3JZ5vGJsk
11827376,11932212,midfry,gG3JZ5vGJsk
11986485,12099731,midfry,gG3JZ5vGJsk
12152000,12261275,midfry,gG3JZ5vGJsk
12308970,12486227,midfry,gG3JZ5vGJsk
