sample_start,sample_end,scream_type_start,video_id
4660992,4955904,midfry,hBj0-dIU8HI
5409876,6176688,midfry,hBj0-dIU8HI
6225315,6436559,midfry,hBj0-dIU8HI
6595000,6846731,midfry,hBj0-dIU8HI
6925824,7887360,midfry,hBj0-dIU8HI
8133120,8881152,midfry,hBj0-dIU8HI
8939520,9154587,midfry,hBj0-dIU8HI
9307752,9567731,midfry,hBj0-dIU8HI
9645056,10032090,midfry,hBj0-dIU8HI
10053445,10268302,midfry,hBj0-dIU8HI
10287674,10599246,midfry,hBj0-dIU8HI
10865844,11039377,midfry,hBj0-dIU8HI
11085312,11255833,midfry,hBj0-dIU8HI
11272513,11409330,midfry,hBj0-dIU8HI
11420358,11525771,midfry,hBj0-dIU8HI
11551148,11685213,midfry,hBj0-dIU8HI
11954486,12063044,midfry,hBj0-dIU8HI
12346841,12729959,midfry,hBj0-dIU8HI
12758690,12896816,midfry,hBj0-dIU8HI
12954614,13148921,midfry,hBj0-dIU8HI
14050964,15002841,midfry,hBj0-dIU8HI
15032715,15191204,midfry,hBj0-dIU8HI
15408534,15589242,midfry,hBj0-dIU8HI
