sample_start,sample_end,scream_type_start,video_id
2642275,3079340,midfry,hUNAX1UYeAE
3108717,3262711,midfry,hUNAX1UYeAE
3290096,3431551,midfry,hUNAX1UYeAE
3444032,3772587,midfry,hUNAX1UYeAE
3786496,5461986,midfry,hUNAX1UYeAE
5564717,5759792,midfry,hUNAX1UYeAE
5812560,5997214,midfry,hUNAX1UYeAE
6029510,6599885,midfry,hUNAX1UYeAE
6654995,6947768,midfry,hUNAX1UYeAE
6976374,7151221,midfry,hUNAX1UYeAE
7178811,7219547,midfry,hUNAX1UYeAE
7830144,8181896,midfry,hUNAX1UYeAE
8228003,8362303,midfry,hUNAX1UYeAE
8379165,8527766,midfry,hUNAX1UYeAE
8635709,8766144,midfry,hUNAX1UYeAE
8773056,8870976,highfry,hUNAX1UYeAE
8880192,8934912,midfry,hUNAX1UYeAE
8946432,9054644,midfry,hUNAX1UYeAE
9099818,9346953,midfry,hUNAX1UYeAE
9377322,9666689,midfry,hUNAX1UYeAE
9714619,9866000,midfry,hUNAX1UYeAE
10208645,10358558,midfry,hUNAX1UYeAE
10383351,10912551,midfry,hUNAX1UYeAE
10939467,11048799,midfry,hUNAX1UYeAE
11058858,11213087,midfry,hUNAX1UYeAE
11231870,11582042,midfry,hUNAX1UYeAE
11612424,11885661,midfry,hUNAX1UYeAE
