sample_start,sample_end,scream_type_start,video_id
1004416,1169421,lowfry,hwxTEcHnC1o
1190907,1288752,lowfry,hwxTEcHnC1o
1343212,1427200,highfry,hwxTEcHnC1o
1436154,1494529,lowfry,hwxTEcHnC1o
1775479,1847251,highfry,hwxTEcHnC1o
1928960,1952939,highfry,hwxTEcHnC1o
1962240,2038305,highfry,hwxTEcHnC1o
2073656,2138218,highfry,hwxTEcHnC1o
2351696,2449920,layered,hwxTEcHnC1o
2515838,2606798,layered,hwxTEcHnC1o
2670476,2757321,lowfry,hwxTEcHnC1o
2822400,2965128,highfry,hwxTEcHnC1o
3048031,3309550,highfry,hwxTEcHnC1o
3343642,3626974,layered,hwxTEcHnC1o
3658880,3917366,highfry,hwxTEcHnC1o
4042308,4141887,lowfry,hwxTEcHnC1o
4205440,4288640,highfry,hwxTEcHnC1o
4362240,4489600,lowfry,hwxTEcHnC1o
4531840,4608640,midfry,hwxTEcHnC1o
4719360,4787664,lowfry,hwxTEcHnC1o
4875076,4959114,lowfry,hwxTEcHnC1o
5032869,5115230,lowfry,hwxTEcHnC1o
5201202,5349098,highfry,hwxTEcHnC1o
5698348,5776433,highfry,hwxTEcHnC1o
5852800,5950409,midfry,hwxTEcHnC1o
5999481,6061706,highfry,hwxTEcHnC1o
6436480,6586307,lowfry,hwxTEcHnC1o
6605521,6667595,lowfry,hwxTEcHnC1o
6754560,6899903,lowfry,hwxTEcHnC1o
6915840,6977991,lowfry,hwxTEcHnC1o
7727515,7940987,layered,hwxTEcHnC1o
8035200,8249472,layered,hwxTEcHnC1o
