sample_start,sample_end,scream_type_start,video_id
1098887,1329782,midfry,hxu3KXVy48w
2207744,3236745,midfry,hxu3KXVy48w
3260506,3525040,midfry,hxu3KXVy48w
3595409,4523544,clean,hxu3KXVy48w
4631689,4830175,midfry,hxu3KXVy48w
4852225,6000772,midfry,hxu3KXVy48w
6032281,6886963,midfry,hxu3KXVy48w
6910881,7831545,clean,hxu3KXVy48w
9555614,10471465,clean,hxu3KXVy48w
10481936,10671506,midfry,hxu3KXVy48w
10698703,10894558,midfry,hxu3KXVy48w
10914896,11116825,midfry,hxu3KXVy48w
11136859,11360674,midfry,hxu3KXVy48w
