sample_start,sample_end,scream_type_start,video_id
1667682,1775687,midfry,iVvXB-Vwnco
1827657,2083022,midfry,iVvXB-Vwnco
2106021,2224892,midfry,iVvXB-Vwnco
2245551,2393949,midfry,iVvXB-Vwnco
2403439,2548269,midfry,iVvXB-Vwnco
2558721,2861227,midfry,iVvXB-Vwnco
2923380,3110851,clean,iVvXB-Vwnco
3161964,3590641,clean,iVvXB-Vwnco
3641493,3956815,clean,iVvXB-Vwnco
4313006,4572104,midfry,iVvXB-Vwnco
4611189,4864167,midfry,iVvXB-Vwnco
5035183,5078651,midfry,iVvXB-Vwnco
5123999,5221322,midfry,iVvXB-Vwnco
5286335,5467493,midfry,iVvXB-Vwnco
7454895,7652793,clean,iVvXB-Vwnco
7696330,8137272,clean,iVvXB-Vwnco
8181189,8498224,clean,iVvXB-Vwnco
