sample_start,sample_end,scream_type_start,video_id
448604,636130,midfry,impRqn44OCA
947850,1189974,layered,impRqn44OCA
1613498,2254967,clean,impRqn44OCA
2309120,2589125,clean,impRqn44OCA
2630394,2923180,clean,impRqn44OCA
2958187,3171336,clean,impRqn44OCA
3289105,3623981,clean,impRqn44OCA
3944413,4123405,layered,impRqn44OCA
4148625,4222449,layered,impRqn44OCA
4294981,4541419,clean,impRqn44OCA
4570110,4711848,clean,impRqn44OCA
4785144,5044016,clean,impRqn44OCA
5063474,5611123,clean,impRqn44OCA
7776966,8086379,clean,impRqn44OCA
8109655,8433724,clean,impRqn44OCA
8469589,8761600,clean,impRqn44OCA
8802560,9094321,clean,impRqn44OCA
9123358,9358054,clean,impRqn44OCA
9389290,9552089,clean,impRqn44OCA
9613685,9878292,clean,impRqn44OCA
9899687,10037703,clean,impRqn44OCA
10069883,10464441,clean,impRqn44OCA
10782580,11020901,layered,impRqn44OCA
