sample_start,sample_end,scream_type_start,video_id
5696768,5755904,midfry,j4xCb_OU_lM
6726249,7470791,highfry,j4xCb_OU_lM
7514094,7796864,lowfry,j4xCb_OU_lM
15607925,15900819,lowfry,j4xCb_OU_lM
16209427,17555067,lowfry,j4xCb_OU_lM
19096933,19274280,midfry,j4xCb_OU_lM
19369433,19536397,midfry,j4xCb_OU_lM
19582953,19821155,highfry,j4xCb_OU_lM
19922602,20103991,lowfry,j4xCb_OU_lM
21162034,21666999,midfry,j4xCb_OU_lM
21708348,22308864,lowfry,j4xCb_OU_lM
22316032,22569715,highfry,j4xCb_OU_lM
24355719,24853254,lowfry,j4xCb_OU_lM
24953210,25334594,lowfry,j4xCb_OU_lM
25511849,25960055,lowfry,j4xCb_OU_lM
26085561,26776921,highfry,j4xCb_OU_lM
28230263,28723398,midfry,j4xCb_OU_lM
28778147,29087677,highfry,j4xCb_OU_lM
29101020,29361419,lowfry,j4xCb_OU_lM
29370980,30475037,lowfry,j4xCb_OU_lM
30482372,30870732,lowfry,j4xCb_OU_lM
30964189,31643954,lowfry,j4xCb_OU_lM
