sample_start,sample_end,scream_type_start,video_id
593808,1159815,midfry,jqnC54vbUbU
1353216,1481472,midfry,jqnC54vbUbU
1622784,1767936,midfry,jqnC54vbUbU
1892352,2050560,midfry,jqnC54vbUbU
2177280,2317056,midfry,jqnC54vbUbU
2474496,2559744,midfry,jqnC54vbUbU
2683392,2764032,midfry,jqnC54vbUbU
2930688,3013632,midfry,jqnC54vbUbU
3138816,3216384,midfry,jqnC54vbUbU
5038080,5173632,midfry,jqnC54vbUbU
5191200,5224608,midfry,jqnC54vbUbU
5247648,5334912,midfry,jqnC54vbUbU
5351616,5440896,midfry,jqnC54vbUbU
5452032,5818557,highfry,jqnC54vbUbU
9047808,9173760,midfry,jqnC54vbUbU
9179904,9316350,midfry,jqnC54vbUbU
9377343,9452544,midfry,jqnC54vbUbU
9467520,9589049,midfry,jqnC54vbUbU
9789312,9921024,midfry,jqnC54vbUbU
10055040,10190208,midfry,jqnC54vbUbU
10323072,10466688,midfry,jqnC54vbUbU
10599552,10720512,midfry,jqnC54vbUbU
10893312,10954368,midfry,jqnC54vbUbU
11101824,11181696,midfry,jqnC54vbUbU
11346048,11417472,midfry,jqnC54vbUbU
11557632,11630592,midfry,jqnC54vbUbU
