sample_start,sample_end,scream_type_start,video_id
1142754,1222543,midfry,k27N-jRofrM
1459584,1644222,midfry,k27N-jRofrM
1681792,1804621,midfry,k27N-jRofrM
1852928,1928448,midfry,k27N-jRofrM
1945152,2021017,midfry,k27N-jRofrM
2066112,2221632,midfry,k27N-jRofrM
2514477,2625916,midfry,k27N-jRofrM
2897159,3021747,midfry,k27N-jRofrM
3029599,3166787,midfry,k27N-jRofrM
3222524,3405672,midfry,k27N-jRofrM
3529302,3675985,highfry,k27N-jRofrM
3732668,3842240,midfry,k27N-jRofrM
3949480,4030226,highfry,k27N-jRofrM
4112497,4195219,midfry,k27N-jRofrM
4212480,4399055,midfry,k27N-jRofrM
4407456,5069604,midfry,k27N-jRofrM
5216388,5290378,highfry,k27N-jRofrM
5396965,5510063,midfry,k27N-jRofrM
5597935,5734054,highfry,k27N-jRofrM
5777174,5863797,midfry,k27N-jRofrM
5870990,6651008,layered,k27N-jRofrM
6656500,7433600,midfry,k27N-jRofrM
7435520,7505205,highfry,k27N-jRofrM
7806123,7983610,midfry,k27N-jRofrM
8024320,8215328,midfry,k27N-jRofrM
8486167,8593644,midfry,k27N-jRofrM
8888945,9079680,midfry,k27N-jRofrM
9088000,9295360,highfry,k27N-jRofrM
9297600,9332160,midfry,k27N-jRofrM
9334720,9416640,highfry,k27N-jRofrM
9490828,9602731,midfry,k27N-jRofrM
9687129,9752544,midfry,k27N-jRofrM
9753984,9826819,highfry,k27N-jRofrM
9873010,9965790,midfry,k27N-jRofrM
