sample_start,sample_end,scream_type_start,video_id
2299904,3251200,midfry,kQUTQTNChbE
3310592,3364538,midfry,kQUTQTNChbE
3423564,3507060,midfry,kQUTQTNChbE
3517527,3704910,midfry,kQUTQTNChbE
3759884,3814747,midfry,kQUTQTNChbE
3859030,4294249,midfry,kQUTQTNChbE
4333594,4499119,midfry,kQUTQTNChbE
4568469,4744500,midfry,kQUTQTNChbE
4794819,5042798,midfry,kQUTQTNChbE
5103385,5160960,midfry,kQUTQTNChbE
5218752,5241600,midfry,kQUTQTNChbE
5259520,5296256,midfry,kQUTQTNChbE
5314624,5377792,midfry,kQUTQTNChbE
5385856,5493851,midfry,kQUTQTNChbE
5556096,5607552,midfry,kQUTQTNChbE
5652096,5902080,midfry,kQUTQTNChbE
5948928,6031488,midfry,kQUTQTNChbE
8937984,8986368,midfry,kQUTQTNChbE
9049438,9104256,midfry,kQUTQTNChbE
9147406,9267421,midfry,kQUTQTNChbE
9275178,9437811,midfry,kQUTQTNChbE
9494094,9552705,midfry,kQUTQTNChbE
9592521,9715528,midfry,kQUTQTNChbE
9721227,9885948,midfry,kQUTQTNChbE
9945065,10004369,midfry,kQUTQTNChbE
10059910,10083788,midfry,kQUTQTNChbE
10100037,10139125,midfry,kQUTQTNChbE
10156152,10219008,midfry,kQUTQTNChbE
10228608,10332672,midfry,kQUTQTNChbE
10397312,10448938,midfry,kQUTQTNChbE
10494645,10613415,midfry,kQUTQTNChbE
10621290,10781263,midfry,kQUTQTNChbE
10788766,11081363,midfry,kQUTQTNChbE
11695693,11982824,midfry,kQUTQTNChbE
